HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N10.HOG0000081	OG0000081	n0			MK689686.1_00117 hypothetical protein		MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein		MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MG570131.1_00115 hypothetical protein	MG570132.1_00115 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein		MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein		AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein		MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein			AF371960.1_00118 hypothetical protein		AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein					AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein		MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein		MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein		OQ475017.1_00117 OQ475017.1 - hypothetical protein translation	AF371960.1_00118 hypothetical protein			AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000082	OG0000082	n0			MK689686.1_00091 hypothetical protein		MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	GQ273492.1_00090 hypothetical protein	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MG570131.1_00090 hypothetical protein	MG570132.1_00090 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein		MK689686.1_00091 hypothetical protein	ORF094L_ref ren ORF094L		ORF094L_refgen ORF094L	ORF094L_refgen ORF094L		MK689686.1_00091 hypothetical protein	ORF094L_ref gen ORF094L	ORF094L_ref gen ORF094L	MK689686.1_00091 hypothetical protein			ORF094L_refgen ORF094L		ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein					ORF094L_refgen ORF094L	ORF094L_refgen ORF094L		MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein		MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	ORF094L_ref gen ORF094L		OQ475017.1_00091 OQ475017.1 - hypothetical protein translation	ORF094L_refgen ORF094L			ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	
N10.HOG0000083	OG0000083	n0			GQ273492.1_00066 hypothetical protein		ORF066L_refgen ORF066L	ORF066L_ref_gen ORF066L	GQ273492.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein	ORF066L_ref_gen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	MG570131.1_00066 hypothetical protein	MG570132.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein			ORF066L_ref ren ORF066L		ORF066L_refgen ORF066L	ORF066L_refgen ORF066L		ORF066L_refgen ORF066L	ORF066L_ref gen ORF066L	ORF066L_ref gen ORF066L	ORF066L_refgen ORF066L			ORF066L_refgen ORF066L		ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L					ORF066L_refgen ORF066L	ORF066L_refgen ORF066L		ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L		ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_ref gen ORF066L		OQ475017.1_00065 OQ475017.1 - hypothetical protein translation	ORF066L_refgen ORF066L			ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	ORF066L_refgen ORF066L	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000084	OG0000084	n0			RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase		RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	MG570131.1_00065 hypothetical protein	MG570132.1_00065 hypothetical protein	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase		RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L		ORF065L_refgen ORF065L	ORF065L_refgen ORF065L		RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L	ORF065L_ref gen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase			ORF065L_refgen ORF065L		ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase					ORF065L_refgen ORF065L	ORF065L_refgen ORF065L		RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase		RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L		OQ475017.1_00064 OQ475017.1 - hypothetical protein translation	ORF065L_refgen ORF065L			ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	
N10.HOG0000085	OG0000085	n0			ORF018_refgen ORF018		ORF018_refgen ORF018	ORF018_ref_gen ORF018	ORF018_ref_gen ORF018	GQ273492.1_00021 hypothetical protein	ORF017_ref_gen ORF018	ORF018L_refgen ORF018L	ORF018_refgen ORF018			ORF018_refgen ORF018	ORF018_refgen ORF018	ORF018_refgen ORF018		ORF018_refgen ORF018	ORF018L_ref gen ORF018L	OM037668.1_00042 hypothetical protein	ORF018L_refgen ORF018L	ORF018L_refgen ORF018L	OM037668.1_00042 hypothetical protein	ORF018_refgen ORF018	ORF018L_ref gen ORF018L	ORF018L_ref gen ORF018L	ORF018_refgen ORF018			ORF018L_refgen ORF018L		ORF018L_refgen ORF018L	ORF018L_refgen ORF018L	ORF018L_refgen ORF018L	ORF018_refgen ORF018					ORF018L_refgen ORF018L	ORF018L_refgen ORF018L		ORF018_refgen ORF018	ORF018_refgen ORF018	ORF018_refgen ORF018	ORF018_refgen ORF018	ORF018_refgen ORF018	OM037668.1_00042 hypothetical protein	ORF018_refgen ORF018	ORF018L_refgen ORF018L	ORF018_refgen ORF018	ORF018_refgen ORF018	ORF018L_ref gen ORF018L		OQ475017.1_00021 OQ475017.1 - hypothetical protein translation	ORF018L_refgen ORF018L			ORF018L_refgen ORF018L	ORF018L_refgen ORF018L	GQ273492.1_00021 hypothetical protein	
N10.HOG0000086	OG0000086	n0			MK689686.1_00003 hypothetical protein		MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	GQ273492.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MG570131.1_00003 hypothetical protein	MG570132.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein		MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein		AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein		MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein			AF371960.1_00003 hypothetical protein		AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein					AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein		MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein		MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein		OQ475017.1_00003 OQ475017.1 - hypothetical protein translation	AF371960.1_00003 hypothetical protein			AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	
N10.HOG0000087	OG0000087	n0			MK689686.1_00036 hypothetical protein		MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	GQ273492.1_00037 hypothetical protein	MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein	MG570131.1_00038 hypothetical protein	MG570132.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein		MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein		AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein		MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein			AF371960.1_00038 hypothetical protein		AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein					AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein		MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein		MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein	MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein		OQ475017.1_00037 OQ475017.1 - hypothetical protein translation	AF371960.1_00038 hypothetical protein			AF371960.1_00038 hypothetical protein	AF371960.1_00038 hypothetical protein		PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000088	OG0000088	n0			ORF038_refgen ORF039		ORF038_refgen ORF039	ORF039_ref_gen ORF039	ORF038_ref_gen ORF039		ORF039_ref_gen ORF039	AF371960.1_00043 hypothetical protein	ORF039_refgen ORF039	MG570131.1_00043 hypothetical protein	MG570132.1_00043 hypothetical protein	ORF039_refgen ORF039	ORF039_refgen ORF039	ORF039_refgen ORF039		ORF039_refgen ORF039	AF371960.1_00043 hypothetical protein		AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein		ORF038_refgen ORF039	AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein	ORF038_refgen ORF039			AF371960.1_00043 hypothetical protein		AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein	ORF038_refgen ORF039					AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein		ORF038_refgen ORF039	ORF038_refgen ORF039	ORF038_refgen ORF039	ORF038_refgen ORF039	ORF038_refgen ORF039		ORF038_refgen ORF039	AF371960.1_00043 hypothetical protein	ORF038_refgen ORF039	ORF038_refgen ORF039	AF371960.1_00043 hypothetical protein		OQ475017.1_00042 OQ475017.1 - hypothetical protein translation	AF371960.1_00043 hypothetical protein			AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein	AF371960.1_00043 hypothetical protein	PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000089	OG0000089	n0			MK689686.1_00052 hypothetical protein		MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	GQ273492.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MG570131.1_00053 hypothetical protein	MG570132.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein		MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein		AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein		MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein			AF371960.1_00053 hypothetical protein		AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein					AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein		MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein		MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein		OQ475017.1_00052 OQ475017.1 - hypothetical protein translation	AF371960.1_00053 hypothetical protein			AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	
N10.HOG0000090	OG0000090	n0			MK689686.1_00068 hypothetical protein		MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	GQ273492.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MG570131.1_00068 hypothetical protein	MG570132.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein		MK689686.1_00068 hypothetical protein	AF371960.1_00070 hypothetical protein		AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein		MK689686.1_00068 hypothetical protein	AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein	MK689686.1_00068 hypothetical protein			AF371960.1_00070 hypothetical protein		AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein	MK689686.1_00068 hypothetical protein					AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein		MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein		MK689686.1_00068 hypothetical protein	AF371960.1_00070 hypothetical protein	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein	AF371960.1_00070 hypothetical protein		OQ475017.1_00067 OQ475017.1 - hypothetical protein translation				AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein	AF371960.1_00070 hypothetical protein	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation
