Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
AY633985,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-WD2,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633986,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-WD1,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633987,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-EJ,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633988,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-JJ,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633989,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-JSY,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633990,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-JJY,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633991,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-JHJ,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633992,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-PH,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
KF938901,ICTV Iridoviridae Report April 2024,Chloriridovirus,Anopheles minimus iridovirus,Anopheles minimus iridovirus,Not given,AMIV,complete,163023,N/A,"Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity, China",China: Yunnan,Anopheles minimus,5/08/2007,N/A,Tong,None given,N/A,N/A,N/A,N/A,N/A,No,KF938901.1,
KT804738,ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Giant sea perch iridovirus - K1 (GSIV-K1),GSIV-K1,K1 (GSIV-K1),Complete ,Doesn't specify in ICTV ,N/A,N/A,"Taiwean, Kaohsiung",Lates calcarifer,?,10.1128/genomeA.01759-15,Wen,"Complete Genome Sequence of a Giant Sea Perch Iridovirus in Kaohsiung, Taiwan",2016,In vitro ,No,"Assemby: ABySS
Gene prediction: GeneMarkS
Annotation: BlastX. The resulting predictions were searched against the NCBI nonredundant database using Blastp.",Short one page paper. ,No,KT804738.1,
L63545,ICTV Iridoviridae Report April 2024,Lymphocytivirus,Lymphocystis disease virus 1,Not given,LCDV,Not given,Complete ,102653,"196 ORFs were identifed and 'computer-assisted analyses' of the amino acid sequences found putative genes with significant homologies to proteins submitted to data banks. This included DNA polymerase, several protein kinases, subunits of the ribonucleoside diphosphate reductase, MCP, and others. ","University of Heidelberg, Virology, Germany",,,,"Four papers: 10.1006/viro.1997.8456, 10.1016/0042-6822(87)90153-x, 10.1016/0042-6822(89)90104-9, 10.1016/0042-6822(91)90625-l.","Four papers: Tidona, Schnitzler, Schnitzler, Schnitzler.","Four papers:
The Complete DNA Sequence of Lymphocystis Disease Virus, 

Identification and nucleotide sequence analysis of the repetitive DNA element in the genome of fish lymphocystis disease virus

Characterization of the repetitive DNA elements in the genome of fish lymphocystis disease viruses

The primary structure of the thymidine kinase gene of fish lymphocystis disease virus","1998, 1987, 1989, 1991","In vitro, in vitro, In vitro, in vitro ","No, No, No, No","The Complete DNA Sequence of Lymphocystis Disease VirusSequencing was done using 'Sequence Navigator software' (version 1.0, Ap- Every nucleotide position in the viral genome was deterplied Biosystems GmbH). 

Nucleotide and amino acid sequences were compiled and analysed using pc/gene program (release 6.85 (intelligenetics Inc., CA). Homologous protines were searched for in the SWISS-PROT 33 database using FASTA and FSTPSCAN programs. 

Protein alignments were done using CLUSTAL. 

Identification and nucleotide sequence analysis of the repetitive DNA element in the genome of fish lymphocystis disease virus
The genome of the fish lymphocystis disease virus (FLDV) was analysed for repetitive DNA sequences.

Characterization of the repetitive DNA elements in the genome of fish lymphocystis disease viruses
The entire sequence for the repetitive parts of the genome of FLDV  (fish lymphocystis disease virus) isolated from flounder and dab was determined.

The primary structure of the thymidine kinase gene of fish lymphocystis disease virus
The nucleotide sequence of the thymidine kinase gene of FLDV was determined.","The Complete DNA Sequence of Lymphocystis Disease Virus,Lymphocystis disease virus type 1 (LCDV-1) is a flounder isolate and is the type species of the genus Lymphocystivirus. ",,L63545.1,
OK149102,GenBank,Megalocytivirus,Megalocytivirus pagrus1,large yellow croaker iridovirus ,LYCIV,FD201807,Partial ,1362,MCP,"Fujian Academy of Agricultural Sciences, Institute of Biotechnology, China",China,Larimichthys crocea,15/07/2018,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Host: Larimichthys crocea
Geo Location: China
Collection Date: 2018-08-04",,,
OK149103,GenBank,Megalocytivirus,Megalocytivirus pagrus1,large yellow croaker iridovirus ,LYCIV,SA201808,Partial ,1362,MCP,"Fujian Academy of Agricultural Sciences, Institute of Biotechnology, China",China,Larimichthys crocea,4/08/2018,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Host: Larimichthys crocea
Geo Location: China
Collection Date: 2018-08-04",,,
